City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
1,Laguna De Perlas,NI,86.09,broken clouds,12.3429,-83.6712,Hotel Best View
5,Atuona,PF,78.21,scattered clouds,-9.8,-139.0333,Villa Enata
7,San Patricio,US,80.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
8,Coatepec,MX,80.37,scattered clouds,19.45,-96.9667,Hotel Posada Coatepec
9,Hithadhoo,MV,83.55,clear sky,-0.6,73.0833,Scoop Guest House
16,Akyab,MM,78.96,few clouds,20.15,92.9,Hotel Memory
17,Hambantota,LK,80.22,few clouds,6.1241,81.1185,Bungalow 63
18,Mahibadhoo,MV,83.95,clear sky,3.7833,72.9667,Omadhoo Inn
27,Teknaf,BD,76.41,clear sky,20.8624,92.3058,Forestry Guesthouse
31,Puerto Madryn,AR,77.2,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
37,Rikitea,PF,76.14,broken clouds,-23.1203,-134.9692,People ThankYou
41,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
45,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
50,Trelew,AR,79.88,overcast clouds,-43.249,-65.3051,Hotel Touring Club
59,Bengkulu,ID,76.59,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Acari,PE,80.33,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
71,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Sinnamary,GF,76.17,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
76,Thanatpin,MM,84.38,scattered clouds,17.2119,96.3033,Lo Ta Ya Garden
79,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
81,Kavieng,PG,81.63,light rain,-2.5744,150.7967,Nusa Island Retreat
82,Sao Miguel Do Araguaia,BR,86.27,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
83,Umm Lajj,SA,80.24,few clouds,25.0213,37.2685,Moon light Furnished Units
88,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
93,Ambilobe,MG,75.07,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
98,Angoche,MZ,79.16,clear sky,-16.2325,39.9086,Guest House HESADA
100,Isangel,VU,79.84,broken clouds,-19.55,169.2667,Tanna Lodge
105,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Mana,GF,79.23,overcast clouds,5.6592,-53.7767,LE SAMANA
111,Mahebourg,MU,77.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
112,Namatanai,PG,79.23,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
118,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
121,Sur,OM,81.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
126,Begoro,GH,79.32,moderate rain,6.3871,-0.3774,Sweet Memories Hotel
127,Camocim,BR,80.51,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
136,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
145,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
146,Joao Pinheiro,BR,88.34,few clouds,-17.7425,-46.1725,Hotel Santos
147,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
156,Isabela,PH,79.84,overcast clouds,6.7085,121.9711,Isawad Resort
159,Bambous Virieux,MU,77.25,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
163,Acapulco,MX,81.54,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
165,Gizo,SB,82.15,light rain,-8.103,156.8419,Imagination Island
166,Manokwari,ID,78.53,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
167,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
169,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
171,Nova Vicosa,BR,83.95,clear sky,-17.8919,-39.3719,Pousada Porto do Sol
172,Chauk,MM,85.96,few clouds,20.8833,94.8167,Bo Khin Guest House
175,Hobyo,SO,82.38,few clouds,5.3505,48.5268,Iftin hotel hobyo
177,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
179,Bubaque,GW,75.47,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
183,Saint-Pierre,RE,76.68,light rain,-21.3393,55.4781,Lindsey Hôtel
187,Padang,ID,76.21,clear sky,-0.9492,100.3543,Mercure Padang
189,Dingle,PH,75.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
190,Yenagoa,NG,83.75,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
192,Bandhi,PK,80.47,clear sky,26.5861,68.3006,"A,M Malik sweet š Bakers"
196,Safaga,EG,78.78,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
197,Rawson,AR,76.82,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
199,Porciuncula,BR,83.39,light rain,-20.9628,-42.0408,Pousada Cordeiro
202,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
213,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
216,Pa Sang,TH,84.4,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
218,Mumford,GH,83.52,overcast clouds,5.2618,-0.759,Spanish Villa
223,Alexandria,EG,77.54,overcast clouds,31.2156,29.9553,Royal Crown Hotel
226,Abu Dhabi,AE,77.11,clear sky,24.4667,54.3667,Beach Rotana
227,Rajapur,IN,88.34,clear sky,25.3833,81.15,Sahu Ji Galla Mills
228,The Valley,AI,82.54,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
230,Ahuimanu,US,75.36,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
231,Nabire,ID,75.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
234,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
240,Aquiraz,BR,84.29,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
242,Tela,HN,87.75,clear sky,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
243,Labelle,US,85.23,overcast clouds,26.7617,-81.4384,Port LaBelle Inn
249,Cassilandia,BR,75.52,overcast clouds,-19.1133,-51.7342,Delirius Motel
251,Quatre Cocos,MU,77.11,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
254,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
257,Pochutla,MX,87.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
261,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
263,San Antonio,US,78.06,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
272,Moerai,PF,80.26,broken clouds,-22.4333,-151.3333,Le Manotel
275,Harper,LR,83.95,light rain,4.375,-7.7169,Screensaver
278,Gainesville,US,78.03,clear sky,29.6516,-82.3248,Wyndham Garden Gainesville
280,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
281,Meulaboh,ID,80.06,overcast clouds,4.1363,96.1285,Kost Pria
282,Anicuns,BR,85.6,few clouds,-16.4611,-49.9617,Hotel Florida
302,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
304,Waingapu,ID,77.67,clear sky,-9.6567,120.2641,Pondok Wisata Elim
308,Celestun,MX,85.55,few clouds,20.8667,-90.4,Posada Lilia
310,Sattenapalle,IN,80.42,clear sky,16.4,80.1833,Subhani hot hot tiffen ceanter
311,Samarai,PG,79.74,moderate rain,-10.6167,150.6667,Nuli Sapi
315,Istmina,CO,81.0,overcast clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
319,Igbo Ora,NG,79.9,moderate rain,7.4333,3.2833,Pinkbell Inn
320,Mogadishu,SO,82.0,broken clouds,2.0371,45.3438,Hotel Juba
323,Hurghada,EG,78.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
328,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
330,Conde,BR,89.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
331,Kulhudhuffushi,MV,83.28,clear sky,6.6221,73.07,Haajy Guest House 1
333,Bandarbeyla,SO,80.67,clear sky,9.4942,50.8122,JABIR HOTEL
334,Labuhan,ID,77.27,overcast clouds,-6.8844,112.2051,DoubleFAG
338,Grand Gaube,MU,77.4,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
342,Acajutla,SV,86.67,clear sky,13.5928,-89.8275,Laureles
354,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
356,Cayenne,GF,78.84,mist,4.9333,-52.3333,Hôtel Le Dronmi
358,Tahta,EG,86.59,broken clouds,26.7693,31.5021,فندق الزيات
361,Lamu,KE,84.42,few clouds,-2.2717,40.902,Lamu House
366,Lindi,TZ,76.05,light rain,-10.0,39.7167,Lindi paradise house
369,Keti Bandar,PK,80.31,clear sky,24.1447,67.4497,Haji laloo memon house
376,Sadiqabad,PK,85.06,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
382,Karratha,AU,84.38,broken clouds,-20.7377,116.8463,ibis Styles Karratha
385,Cockburn Town,TC,77.9,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
387,Mabaruma,GY,84.69,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
392,Labranzagrande,CO,78.89,broken clouds,5.5622,-72.575,Hotel Casa Grande
395,Daru,PG,76.78,overcast clouds,-9.0763,143.2092,Daru Lodge
397,Palu,ID,75.97,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
403,Lorengau,PG,82.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
408,Khanpur,PK,85.91,clear sky,28.6453,70.6567,Ahmad Bartan store
418,Kaman,IN,85.77,clear sky,27.65,77.2667,Dr.kishan kaman
419,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
421,Agnibilekrou,CI,82.69,moderate rain,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
422,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
428,Bonthe,SL,83.53,broken clouds,7.5264,-12.505,Bonthe Holiday Village
431,Promissao,BR,75.94,overcast clouds,-21.5367,-49.8581,Recanto Monte Cristo
432,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
436,Gat,IL,78.4,overcast clouds,31.61,34.7642,OlusHome
437,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
442,General Roca,AR,76.89,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
444,Belmonte,BR,84.67,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
447,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
449,Miraflores,MX,78.03,scattered clouds,19.2167,-98.8083,Hotel Mansión
452,Kupang,ID,76.46,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
454,Awbari,LY,81.99,overcast clouds,26.5921,12.7805,فندق أوباري
456,Kisangani,CD,81.34,overcast clouds,0.5167,25.2,Grand Ramela Hotel
457,Pouebo,NC,77.86,overcast clouds,-20.4,164.5667,RIVÂT LODGE
465,Vallenar,CL,81.84,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
467,Abnub,EG,89.82,overcast clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
473,Awjilah,LY,80.62,overcast clouds,29.1081,21.2869,المنزل
474,Muncar,ID,76.51,overcast clouds,-8.4333,114.3333,Zaky Homestay
482,Vao,NC,79.18,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
486,Bilma,NE,87.76,clear sky,18.6853,12.9164,Expeditions Ténére voyages
490,Tamiahua,MX,79.72,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
492,Nochistlan,MX,77.27,scattered clouds,21.3667,-102.85,Hotel Plaza
494,Ellisras,ZA,76.86,clear sky,-23.6649,27.7443,Lapa le le guesthouse
495,Fayaoue,NC,82.04,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
496,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
498,Mitsamiouli,KM,81.95,broken clouds,-11.3847,43.2844,Foyer ADM
501,Puri,IN,81.12,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
508,Kroya,ID,76.91,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
514,Manaure,CO,88.39,broken clouds,11.7751,-72.4445,Hotel Palaaima
516,Salinopolis,BR,76.26,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
521,Manono,CD,75.43,broken clouds,-7.3,27.4167,Hotel hewa bora
522,Amalapuram,IN,78.78,clear sky,16.5833,82.0167,swayamprabha service apartments
524,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
525,Tayoltita,MX,79.99,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
530,Sambava,MG,76.26,light rain,-14.2667,50.1667,Melrose
535,Jalu,LY,82.71,overcast clouds,29.0331,21.5482,صاحبة الفخامة
536,Mangaratiba,BR,76.06,light rain,-22.9597,-44.0406,Portobello Resort & Safari
541,Sahuaripa,MX,77.86,clear sky,29.05,-109.2333,Estatua de Sahuaripa
